benchmark,variant,track,is_canonical,rows,labelled,state_fields,path,original_file
faith_mt_claimcheck,gold_given,official_track,False,150,148,document|claim|gold_verdict|turns,data/variants/faith_mt_claimcheck/gold_given.jsonl,faith_mt_claimcheck__meta-llama__Llama-3.2-3B-Instruct__gold_given.jsonl
faith_mt_claimcheck,gold_given__excluded,exclusion,False,150,150,document|claim|gold_verdict|turns,data/variants/faith_mt_claimcheck/gold_given__excluded.jsonl,faith_mt_claimcheck__meta-llama__Llama-3.2-3B-Instruct__gold_given__excluded.jsonl
faith_mt_claimcheck,gold_hidden,nominal,True,150,148,document|claim|turns,data/variants/faith_mt_claimcheck/gold_hidden.jsonl,faith_mt_claimcheck__meta-llama__Llama-3.2-3B-Instruct__gold_hidden.jsonl
faith_mt_claimcheck,gold_hidden__excluded,exclusion,False,150,150,document|claim|turns,data/variants/faith_mt_claimcheck/gold_hidden__excluded.jsonl,faith_mt_claimcheck__meta-llama__Llama-3.2-3B-Instruct__gold_hidden__excluded.jsonl
faith_mt_grounded,no_pointer,main,True,150,116,source_passage|turns,data/variants/faith_mt_grounded/no_pointer.jsonl,faith_mt_grounded__meta-llama__Llama-3.2-3B-Instruct__no_pointer.jsonl
faith_mt_grounded,no_pointer__excluded,exclusion,False,150,150,source_passage|turns,data/variants/faith_mt_grounded/no_pointer__excluded.jsonl,faith_mt_grounded__meta-llama__Llama-3.2-3B-Instruct__no_pointer__excluded.jsonl
faith_mt_grounded,pointer,official_track,False,150,116,source_passage|planted_detail|turns,data/variants/faith_mt_grounded/pointer.jsonl,faith_mt_grounded__meta-llama__Llama-3.2-3B-Instruct__pointer.jsonl
faith_mt_grounded,pointer__excluded,exclusion,False,150,150,source_passage|planted_detail|turns,data/variants/faith_mt_grounded/pointer__excluded.jsonl,faith_mt_grounded__meta-llama__Llama-3.2-3B-Instruct__pointer__excluded.jsonl
harmbench,attack,main,True,150,150,forbidden_request|response|attack_prompt,data/variants/harmbench/attack.jsonl,harmbench__microsoft__Phi-4-mini-instruct__attack.jsonl
harmbench,request_only,ablation,False,150,150,forbidden_request|response,data/variants/harmbench/request_only.jsonl,harmbench__microsoft__Phi-4-mini-instruct__request_only.jsonl
harmbench_human,attack,main,False,584,584,forbidden_request|response|attack_prompt,data/variants/harmbench_human/attack.jsonl,harmbench_val__attack.jsonl
harmbench_human,request_only,ablation,False,602,602,forbidden_request|response,data/variants/harmbench_human/request_only.jsonl,harmbench_val__request_only.jsonl
injecagent,no_pointer,main,True,200,136,user_task|available_tools|trajectory|next_action,data/variants/injecagent/no_pointer.jsonl,injecagent__Qwen__Qwen3.5-2B__no_pointer.jsonl
injecagent,no_pointer__excluded,exclusion,False,200,200,user_task|available_tools|trajectory|next_action,data/variants/injecagent/no_pointer__excluded.jsonl,injecagent__Qwen__Qwen3.5-2B__no_pointer__excluded.jsonl
injecagent,official_track,official_track,False,200,136,user_task|available_tools|trajectory|next_action|injected_instruction|attacker_tool,data/variants/injecagent/official_track.jsonl,injecagent__Qwen__Qwen3.5-2B__official_track.jsonl
injecagent,official_track__excluded,exclusion,False,200,200,user_task|available_tools|trajectory|next_action|injected_instruction|attacker_tool,data/variants/injecagent/official_track__excluded.jsonl,injecagent__Qwen__Qwen3.5-2B__official_track__excluded.jsonl
instrumental_eval,no_category,main,True,31,31,scenario|response,data/variants/instrumental_eval/no_category.jsonl,instrumental_eval__meta-llama__Llama-3.2-3B-Instruct__no_category.jsonl
instrumental_eval,no_category__anti,main,False,32,32,scenario|response,data/variants/instrumental_eval/no_category__anti.jsonl,instrumental_eval__meta-llama__Llama-3.2-3B-Instruct__no_category__anti.jsonl
instrumental_eval,with_category,official_track,False,33,33,scenario_category|scenario|response,data/variants/instrumental_eval/with_category.jsonl,instrumental_eval__meta-llama__Llama-3.2-3B-Instruct__with_category.jsonl
instrumental_eval,with_framing,official_track,False,33,33,system_prompt|scenario|response,data/variants/instrumental_eval/with_framing.jsonl,instrumental_eval__meta-llama__Llama-3.2-3B-Instruct__with_framing.jsonl
jbb,attack__harmful,main,True,100,100,forbidden_request|response|attack_prompt,data/variants/jbb/attack__harmful.jsonl,jbb__microsoft__Phi-4-mini-instruct__attack__harmful.jsonl
jbb,benign,main,False,100,100,request|response,data/variants/jbb/benign.jsonl,jbb__microsoft__Phi-4-mini-instruct__benign.jsonl
jbb,request_only__harmful,ablation,False,100,100,forbidden_request|response,data/variants/jbb/request_only__harmful.jsonl,jbb__microsoft__Phi-4-mini-instruct__request_only__harmful.jsonl
jbb_artifacts,attack__harmful,main,True,64,64,attack_prompt|response,data/variants/jbb_artifacts/attack__harmful.jsonl,jbb_artifacts__microsoft__Phi-4-mini-instruct__attack__harmful.jsonl
jbb_artifacts,benign,main,False,64,64,request|response,data/variants/jbb_artifacts/benign.jsonl,jbb_artifacts__microsoft__Phi-4-mini-instruct__benign.jsonl
llm_aggrefact_A,detect,main,True,150,150,document|claim,data/variants/llm_aggrefact_A/detect.jsonl,llm_aggrefact_A__meta-llama__Llama-3.2-3B-Instruct__detect.jsonl
llm_aggrefact_A,source_gold,understanding,False,150,150,document|claim,data/variants/llm_aggrefact_A/source_gold.jsonl,llm_aggrefact_A.jsonl
llm_aggrefact_B,detect,main,True,150,150,document|claim,data/variants/llm_aggrefact_B/detect.jsonl,llm_aggrefact_B__meta-llama__Llama-3.2-3B-Instruct__detect.jsonl
llm_aggrefact_B,source_gold,understanding,False,150,150,document|claim,data/variants/llm_aggrefact_B/source_gold.jsonl,llm_aggrefact_B.jsonl
llm_uncertainty_bench,text_only,ablation,True,150,150,question|options|chosen_option,data/variants/llm_uncertainty_bench/text_only.jsonl,llm_uncertainty_bench__allenai__Olmo-3-7B-Instruct__text_only.jsonl
llm_uncertainty_bench,with_confidence,main,False,150,150,question|options|chosen_option|model_probability_on_chosen_option,data/variants/llm_uncertainty_bench/with_confidence.jsonl,llm_uncertainty_bench__allenai__Olmo-3-7B-Instruct__with_confidence.jsonl
llm_uncertainty_bench,with_confidence+with_reference,oracle_upper_bound,False,150,150,question|options|chosen_option|model_probability_on_chosen_option|reference_answer,data/variants/llm_uncertainty_bench/with_confidence+with_reference.jsonl,llm_uncertainty_bench__allenai__Olmo-3-7B-Instruct__with_confidence+with_reference.jsonl
llm_uncertainty_bench,with_reference,oracle_upper_bound,False,150,150,question|options|chosen_option|reference_answer,data/variants/llm_uncertainty_bench/with_reference.jsonl,llm_uncertainty_bench__allenai__Olmo-3-7B-Instruct__with_reference.jsonl
machiavelli_harm,detect,main,True,300,300,scene|option_A|option_B,data/variants/machiavelli_harm/detect.jsonl,machiavelli_harm__meta-llama__Llama-3.2-3B-Instruct__detect.jsonl
machiavelli_harm,source_gold,understanding,False,300,300,scene|option_A|option_B,data/variants/machiavelli_harm/source_gold.jsonl,machiavelli_harm.jsonl
machiavelli_heldout,detect,main,True,300,300,scene|option_A|option_B,data/variants/machiavelli_heldout/detect.jsonl,machiavelli_heldout__meta-llama__Llama-3.2-3B-Instruct__detect.jsonl
machiavelli_heldout,source_gold,understanding,False,300,300,scene|option_A|option_B,data/variants/machiavelli_heldout/source_gold.jsonl,machiavelli_heldout.jsonl
machiavelli_power,detect,main,True,300,300,scene|option_A|option_B,data/variants/machiavelli_power/detect.jsonl,machiavelli_power__meta-llama__Llama-3.2-3B-Instruct__detect.jsonl
machiavelli_power,source_gold,understanding,False,300,300,scene|option_A|option_B,data/variants/machiavelli_power/source_gold.jsonl,machiavelli_power.jsonl
machiavelli_reward,detect,main,True,200,200,scene|option_A|option_B,data/variants/machiavelli_reward/detect.jsonl,machiavelli_reward__Qwen__Qwen3.5-2B__detect.jsonl
machiavelli_reward,source_gold,understanding,False,200,200,scene|option_A|option_B,data/variants/machiavelli_reward/source_gold.jsonl,machiavelli_reward.jsonl
mask_continuation,belief_given,oracle_upper_bound,False,82,82,belief|other_statement|pressured_messages,data/variants/mask_continuation/belief_given.jsonl,mask_continuation__google__gemma-2-2b-it__belief_given.jsonl
mask_continuation,main,main,True,120,82,statement_A|statement_B|belief_system|belief_answers|pressured_messages,data/variants/mask_continuation/main.jsonl,mask_continuation__google__gemma-2-2b-it__main.jsonl
mask_continuation,main__excluded,exclusion,False,120,120,statement_A|statement_B|belief_system|belief_answers|pressured_messages,data/variants/mask_continuation/main__excluded.jsonl,mask_continuation__google__gemma-2-2b-it__main__excluded.jsonl
mask_disinformation,belief_given,oracle_upper_bound,False,102,102,belief|other_statement|pressured_messages,data/variants/mask_disinformation/belief_given.jsonl,mask_disinformation__google__gemma-2-2b-it__belief_given.jsonl
mask_disinformation,main,main,True,120,102,statement_A|statement_B|belief_system|belief_answers|pressured_messages,data/variants/mask_disinformation/main.jsonl,mask_disinformation__google__gemma-2-2b-it__main.jsonl
mask_disinformation,main__excluded,exclusion,False,120,120,statement_A|statement_B|belief_system|belief_answers|pressured_messages,data/variants/mask_disinformation/main__excluded.jsonl,mask_disinformation__google__gemma-2-2b-it__main__excluded.jsonl
mask_factual,belief_given,oracle_upper_bound,False,56,56,belief|other_statement|pressured_messages,data/variants/mask_factual/belief_given.jsonl,mask_factual__google__gemma-2-2b-it__belief_given.jsonl
mask_factual,main,main,True,120,56,statement_A|statement_B|belief_system|belief_answers|pressured_messages,data/variants/mask_factual/main.jsonl,mask_factual__google__gemma-2-2b-it__main.jsonl
mask_factual,main__excluded,exclusion,False,120,120,statement_A|statement_B|belief_system|belief_answers|pressured_messages,data/variants/mask_factual/main__excluded.jsonl,mask_factual__google__gemma-2-2b-it__main__excluded.jsonl
open_prompt_injection,detection,main,True,300,300,target_task_instruction|data_with_injection|response,data/variants/open_prompt_injection/detection.jsonl,open_prompt_injection__Qwen__Qwen3.5-2B__detection.jsonl
open_prompt_injection,detection+injected_instruction,oracle_upper_bound,False,300,300,target_task_instruction|data_with_injection|response|injected_instruction,data/variants/open_prompt_injection/detection+injected_instruction.jsonl,open_prompt_injection__Qwen__Qwen3.5-2B__detection+injected_instruction.jsonl
privaci_bench,detection,main,True,300,300,regulation|event|model_response,data/variants/privaci_bench/detection.jsonl,privaci_bench__microsoft__Phi-4-mini-instruct__detection.jsonl
privaci_bench,understanding,understanding,False,300,300,regulation|event,data/variants/privaci_bench/understanding.jsonl,privaci_bench__microsoft__Phi-4-mini-instruct__understanding.jsonl
privaci_gdpr_heldout,detection,main,True,300,300,regulation|event|model_response,data/variants/privaci_gdpr_heldout/detection.jsonl,privaci_gdpr_heldout__microsoft__Phi-4-mini-instruct__detection.jsonl
privaci_gdpr_heldout,understanding,understanding,False,300,300,regulation|event,data/variants/privaci_gdpr_heldout/understanding.jsonl,privaci_gdpr_heldout__microsoft__Phi-4-mini-instruct__understanding.jsonl
privacylens,all_items__no_secrets,main,False,298,298,user_name|user_instruction|trajectory|final_action,data/variants/privacylens/all_items__no_secrets.jsonl,privacylens_all__microsoft__Phi-4-mini-instruct__no_secrets.jsonl
privacylens,all_items__with_secrets,official_track,False,298,298,user_name|user_instruction|trajectory|secrets|final_action,data/variants/privacylens/all_items__with_secrets.jsonl,privacylens_all__microsoft__Phi-4-mini-instruct__with_secrets.jsonl
privacylens,no_secrets,main,True,110,110,user_name|user_instruction|trajectory|final_action,data/variants/privacylens/no_secrets.jsonl,privacylens__microsoft__Phi-4-mini-instruct__no_secrets.jsonl
privacylens,with_secrets,official_track,False,110,110,user_name|user_instruction|trajectory|secrets|final_action,data/variants/privacylens/with_secrets.jsonl,privacylens__microsoft__Phi-4-mini-instruct__with_secrets.jsonl
ragtruth,main,main,True,300,300,task|source|response,data/variants/ragtruth/main.jsonl,ragtruth__meta-llama__Llama-3.2-3B-Instruct__main.jsonl
ragtruth,official_scorer__main,main,False,300,300,task|source|response,data/variants/ragtruth/official_scorer__main.jsonl,ragtruth_official__meta-llama__Llama-3.2-3B-Instruct__main.jsonl
reward_hacking_freeform,no_goal_proxy,main,True,39,39,task|highest_point_option|response,data/variants/reward_hacking_freeform/no_goal_proxy.jsonl,reward_hacking_freeform__Qwen__Qwen3.5-2B__no_goal_proxy.jsonl
reward_hacking_freeform,with_goal_proxy,official_track,False,40,40,task|genuine_goal|gameable_proxy|response,data/variants/reward_hacking_freeform/with_goal_proxy.jsonl,reward_hacking_freeform__Qwen__Qwen3.5-2B__with_goal_proxy.jsonl
reward_harm_freeform,no_actions,main,True,60,60,situation|response,data/variants/reward_harm_freeform/no_actions.jsonl,reward_harm_freeform__Qwen__Qwen3.5-2B__no_actions.jsonl
reward_harm_freeform,with_actions,official_track,False,60,60,situation|unethical_action|ethical_action|response,data/variants/reward_harm_freeform/with_actions.jsonl,reward_harm_freeform__Qwen__Qwen3.5-2B__with_actions.jsonl
rh_mt_reward,official_track,official_track,False,74,69,genuine_goal|gameable_proxy|turns,data/variants/rh_mt_reward/official_track.jsonl,rh_mt_reward__Qwen__Qwen3.5-2B__official_track.jsonl
rh_mt_reward,official_track__excluded,exclusion,False,74,74,genuine_goal|gameable_proxy|turns,data/variants/rh_mt_reward/official_track__excluded.jsonl,rh_mt_reward__Qwen__Qwen3.5-2B__official_track__excluded.jsonl
rh_mt_reward,transcript_only,main,True,74,69,turns,data/variants/rh_mt_reward/transcript_only.jsonl,rh_mt_reward__Qwen__Qwen3.5-2B__transcript_only.jsonl
rh_mt_reward,transcript_only__excluded,exclusion,False,74,74,turns,data/variants/rh_mt_reward/transcript_only__excluded.jsonl,rh_mt_reward__Qwen__Qwen3.5-2B__transcript_only__excluded.jsonl
rh_rubric_tamper,main,main,True,50,50,task|checklist|transcript|checks_file,data/variants/rh_rubric_tamper/main.jsonl,rh_rubric_tamper__Qwen__Qwen3.5-2B__main.jsonl
sciq_uncertainty,text_only,ablation,True,150,150,question|options|chosen_option,data/variants/sciq_uncertainty/text_only.jsonl,sciq_uncertainty__allenai__Olmo-3-7B-Instruct__text_only.jsonl
sciq_uncertainty,with_confidence,main,False,150,150,question|options|chosen_option|model_probability_on_chosen_option,data/variants/sciq_uncertainty/with_confidence.jsonl,sciq_uncertainty__allenai__Olmo-3-7B-Instruct__with_confidence.jsonl
sciq_uncertainty,with_confidence+with_reference,oracle_upper_bound,False,150,150,question|options|chosen_option|model_probability_on_chosen_option|reference_answer,data/variants/sciq_uncertainty/with_confidence+with_reference.jsonl,sciq_uncertainty__allenai__Olmo-3-7B-Instruct__with_confidence+with_reference.jsonl
sciq_uncertainty,with_reference,oracle_upper_bound,False,150,150,question|options|chosen_option|reference_answer,data/variants/sciq_uncertainty/with_reference.jsonl,sciq_uncertainty__allenai__Olmo-3-7B-Instruct__with_reference.jsonl
strongreject,main,main,True,100,100,forbidden_prompt|response,data/variants/strongreject/main.jsonl,strongreject__microsoft__Phi-4-mini-instruct__main.jsonl
strongreject,with_attack_prompt,ablation,False,100,100,forbidden_prompt|response|attack_prompt,data/variants/strongreject/with_attack_prompt.jsonl,strongreject__microsoft__Phi-4-mini-instruct__with_attack_prompt.jsonl
strongreject_human,official_rubric,main,False,1361,1361,forbidden_prompt|response,data/variants/strongreject_human/official_rubric.jsonl,strongreject_labelbox_official.jsonl
strongreject_human,source_gold,main,False,1361,1361,forbidden_prompt|response,data/variants/strongreject_human/source_gold.jsonl,strongreject_labelbox.jsonl
summedits,detect,main,True,300,300,document|summary,data/variants/summedits/detect.jsonl,summedits__meta-llama__Llama-3.2-3B-Instruct__detect.jsonl
summedits,source_gold,understanding,False,300,300,document|summary,data/variants/summedits/source_gold.jsonl,summedits.jsonl
sycon_fp,main,main,True,42,17,premise|turns,data/variants/sycon_fp/main.jsonl,sycon_fp__Qwen__Qwen3.5-2B__main.jsonl
sycon_fp,main__excluded,exclusion,False,42,42,premise|turns,data/variants/sycon_fp/main__excluded.jsonl,sycon_fp__Qwen__Qwen3.5-2B__main__excluded.jsonl
sycon_fp,official_track,official_track,False,42,17,false_premise|correction|turns,data/variants/sycon_fp/official_track.jsonl,sycon_fp__Qwen__Qwen3.5-2B__official_track.jsonl
sycon_fp,official_track__excluded,exclusion,False,42,42,false_premise|correction|turns,data/variants/sycon_fp/official_track__excluded.jsonl,sycon_fp__Qwen__Qwen3.5-2B__official_track__excluded.jsonl
sycophancy_eval,no_reference,main,True,150,150,question|response,data/variants/sycophancy_eval/no_reference.jsonl,sycophancy_eval__Qwen__Qwen3.5-2B__no_reference.jsonl
sycophancy_eval,with_reference,official_track,False,200,200,question|response|reference,data/variants/sycophancy_eval/with_reference.jsonl,sycophancy_eval__Qwen__Qwen3.5-2B__with_reference.jsonl
sycophancy_feedback,blind,main,True,217,217,argument|neutral_feedback|owned_feedback,data/variants/sycophancy_feedback/blind.jsonl,sycophancy_feedback__Qwen__Qwen3.5-2B__blind.jsonl
sycophancy_feedback,official,official_track,False,217,217,argument|neutral_feedback|owned_feedback|known_flaw,data/variants/sycophancy_feedback/official.jsonl,sycophancy_feedback__Qwen__Qwen3.5-2B__official.jsonl
tensor_trust_extract,attack,main,True,300,300,access_code|llm_output,data/variants/tensor_trust_extract/attack.jsonl,tensor_trust_extract__Qwen__Qwen3.5-2B__attack.jsonl
tensor_trust_extract,attack__attacker_input,ablation,False,300,300,access_code|attacker_input|llm_output,data/variants/tensor_trust_extract/attack__attacker_input.jsonl,tensor_trust_extract__Qwen__Qwen3.5-2B__attack__attacker_input.jsonl
tensor_trust_extract,code,main,False,300,300,llm_output,data/variants/tensor_trust_extract/code.jsonl,tensor_trust_extract__Qwen__Qwen3.5-2B__code.jsonl
tensor_trust_hijack,attack,main,True,300,300,llm_output,data/variants/tensor_trust_hijack/attack.jsonl,tensor_trust_hijack__Qwen__Qwen3.5-2B__attack.jsonl
tensor_trust_hijack,attack__attacker_input,ablation,False,300,300,attacker_input|llm_output,data/variants/tensor_trust_hijack/attack__attacker_input.jsonl,tensor_trust_hijack__Qwen__Qwen3.5-2B__attack__attacker_input.jsonl
tensor_trust_hijack,code,main,False,300,300,llm_output,data/variants/tensor_trust_hijack/code.jsonl,tensor_trust_hijack__Qwen__Qwen3.5-2B__code.jsonl
verbalized_ece,answer_only,ablation,False,298,298,question|model_answer,data/variants/verbalized_ece/answer_only.jsonl,verbalized_ece__allenai__Olmo-3-7B-Instruct__answer_only.jsonl
verbalized_ece,with_confidence,main,True,298,298,question|model_answer|model_response|stated_confidence,data/variants/verbalized_ece/with_confidence.jsonl,verbalized_ece__allenai__Olmo-3-7B-Instruct__with_confidence.jsonl
verbalized_ece,with_confidence+with_reference,oracle_upper_bound,False,298,298,question|model_answer|model_response|stated_confidence|reference_answer,data/variants/verbalized_ece/with_confidence+with_reference.jsonl,verbalized_ece__allenai__Olmo-3-7B-Instruct__with_confidence+with_reference.jsonl
verbalized_ece,with_reference,oracle_upper_bound,False,298,298,question|model_answer|model_response|reference_answer,data/variants/verbalized_ece/with_reference.jsonl,verbalized_ece__allenai__Olmo-3-7B-Instruct__with_reference.jsonl
world_affecting_reward,detect,main,True,296,296,scene|option_A|option_B,data/variants/world_affecting_reward/detect.jsonl,world_affecting_reward__Qwen__Qwen3.5-2B__detect.jsonl
world_affecting_reward,source_gold,understanding,False,296,296,scene|option_A|option_B,data/variants/world_affecting_reward/source_gold.jsonl,world_affecting_reward.jsonl
