axis,leg,n,pos,allpos_f1,length_auroc,tfidf_auroc,tfidf_auroc_sd,tfidf_f1,length_auroc_raw,tfidf_folds,status,length_field,allpos_matches_main,file
faithfulness,summedits,300,129,0.6014,0.5006,0.5249,0.0146,0.4373,0.534,5.0,ok,summary,True,summedits__meta-llama__Llama-3.2-3B-Instruct__detect.jsonl
privacy,confaide,98,18,0.3103,0.4763,0.785,0.0124,0.2152,0.4396,5.0,ok,model_response,True,confaide__microsoft__Phi-4-mini-instruct__2b_detection.jsonl
privacy,privaci_bench,300,35,0.209,0.5587,0.8721,0.017,0.4365,0.4118,5.0,ok,model_response,True,privaci_bench__microsoft__Phi-4-mini-instruct__detection.jsonl
privacy,privaci_gdpr_heldout,300,27,0.1651,0.4866,0.9201,0.0078,0.2158,0.5456,5.0,skewed (>90% one class),model_response,True,privaci_gdpr_heldout__microsoft__Phi-4-mini-instruct__detection.jsonl
privacy,privacylens,110,50,0.625,0.4993,0.5424,0.0421,0.4583,0.536,5.0,ok,final_action,True,privacylens__microsoft__Phi-4-mini-instruct__no_secrets.jsonl
bias,bias_race_content,60,60,1.0,,,,,,,degenerate: single class,story_a+story_b,True,bias_race_content__allenai__Olmo-3-7B-Instruct__main.jsonl
bias,bias_refbio,52,49,0.9703,,,,,,,degenerate: minority class n=3,profile_for_male+profile_for_female,True,bias_refbio__allenai__Olmo-3-7B-Instruct__main.jsonl
bias,bias_refletter,43,30,0.8219,0.4745,0.5889,0.0365,0.7952,0.4564,5.0,ok,letter_for_male+letter_for_female,True,bias_refletter__allenai__Olmo-3-7B-Instruct__main.jsonl
bias,bias_scene_heldout,44,37,0.9136,0.394,0.4607,0.0124,0.9,0.5019,5.0,ok,scene,True,bias_scene_heldout__allenai__Olmo-3-7B-Instruct__main__armB.jsonl
reward_hacking,machiavelli_reward,200,116,0.7342,0.4829,0.9108,0.0039,0.8412,0.5436,5.0,ok,<full state>,True,machiavelli_reward__Qwen__Qwen3.5-2B__detect.jsonl
reward_hacking,reward_hacking_freeform,39,10,0.4082,0.4133,0.4874,0.0279,0.0,0.5,5.0,ok,response,True,reward_hacking_freeform__Qwen__Qwen3.5-2B__no_goal_proxy.jsonl
reward_hacking,reward_harm_freeform,60,10,0.2857,0.3702,0.9387,0.0122,0.6768,0.524,5.0,ok,response,True,reward_harm_freeform__Qwen__Qwen3.5-2B__no_actions.jsonl
reward_hacking,rh_mt_reward,69,33,0.6471,0.4897,0.594,0.0518,0.5924,0.5703,5.0,ok,turns,True,rh_mt_reward__Qwen__Qwen3.5-2B__transcript_only.jsonl
reward_hacking,rh_rubric_tamper,50,0,0.0,,,,,,,degenerate: single class,transcript,True,rh_rubric_tamper__Qwen__Qwen3.5-2B__main.jsonl
reward_hacking,world_affecting_reward,296,117,0.5666,0.5697,0.7945,0.023,0.5979,0.4304,5.0,ok,<full state>,True,world_affecting_reward__Qwen__Qwen3.5-2B__detect.jsonl
concealing_uncertainty,abstentionbench,150,146,0.9865,,,,,,,degenerate: minority class n=4,response,True,abstentionbench__allenai__Olmo-3-7B-Instruct__main.jsonl
concealing_uncertainty,llm_uncertainty_bench,150,15,0.1818,0.5917,0.5169,0.0298,0.0,0.6346,5.0,ok,chosen_option,True,llm_uncertainty_bench__allenai__Olmo-3-7B-Instruct__text_only.jsonl
concealing_uncertainty,sciq_uncertainty,150,6,0.0769,0.5582,0.512,0.0912,0.0,0.6128,5.0,skewed (>90% one class),chosen_option,True,sciq_uncertainty__allenai__Olmo-3-7B-Instruct__text_only.jsonl
concealing_uncertainty,verbalized_ece,298,102,0.51,0.707,0.7759,0.0136,0.598,0.7071,5.0,ok,model_response,True,verbalized_ece__allenai__Olmo-3-7B-Instruct__with_confidence.jsonl
power_seeking,instrumental_eval,31,9,0.45,0.4143,0.6987,0.0659,0.5423,0.5354,5.0,ok,response,True,instrumental_eval__meta-llama__Llama-3.2-3B-Instruct__no_category.jsonl
power_seeking,machiavelli_harm,300,125,0.5882,0.4846,0.5516,0.0214,0.3999,0.5122,5.0,ok,<full state>,True,machiavelli_harm__meta-llama__Llama-3.2-3B-Instruct__detect.jsonl
power_seeking,machiavelli_heldout,300,137,0.627,0.482,0.6104,0.0122,0.4963,0.5179,5.0,ok,<full state>,True,machiavelli_heldout__meta-llama__Llama-3.2-3B-Instruct__detect.jsonl
power_seeking,machiavelli_power,300,159,0.6928,0.4819,0.5494,0.0175,0.5736,0.4825,5.0,ok,<full state>,True,machiavelli_power__meta-llama__Llama-3.2-3B-Instruct__detect.jsonl
