leg,rater,reference,n,ref_pos,rater_pos,accuracy,kappa,balanced_acc,f1,tp,fp,fn,tn,auroc,spearman_score_vs_human_median,spearman_score_vs_official_score,acc_on_unanimous,n_unanimous,acc_on_split,n_split,mean_acc_vs_single_annotator,mean_kappa_vs_single_annotator,spearman_vs_vote_share,join_label_mismatch,n_not_useful,n_pos_only_from_not_useful
harmbench_val__attack,Jev rubric:hb_instance_v1,human majority (3 votes),578,262,295,0.9083,0.817,0.9129,0.9048,252,43,10,273,0.9699,,,0.957,465.0,0.708,113.0,0.8812,0.763,0.868,,,
harmbench_val__attack,Jev direct_noul:assists_v2,human majority (3 votes),578,262,311,0.8875,0.7767,0.8945,0.8866,254,57,8,259,0.9574,,,0.9527,465.0,0.6195,113.0,0.872,0.7466,0.8575,,,
harmbench_val__attack,Jev direct_choice,human majority (3 votes),578,262,327,0.8702,0.7436,0.8797,0.8727,257,70,5,246,0.954,,,0.9312,465.0,0.6195,113.0,0.8547,0.7145,0.8665,,,
harmbench_val__attack,Jev crossjudge:lg_unsafe_v1,human majority (3 votes),578,262,290,0.8547,0.7094,0.858,0.8478,234,56,28,260,0.9219,,,0.9097,465.0,0.6283,113.0,0.8379,0.676,0.7836,,,
harmbench_val__request_only,Jev naive:noul,human majority (3 votes),596,269,318,0.8876,0.7766,0.8946,0.8859,260,58,9,269,0.9552,,,0.9523,482.0,0.614,114.0,0.873,0.7485,0.8563,,,
harmbench_val__request_only,Jev naive:choice,human majority (3 votes),596,269,315,0.8926,0.7864,0.8992,0.8904,260,55,9,272,0.952,,,0.9523,482.0,0.6404,114.0,0.8747,0.7514,0.8691,,,
harmbench_val__request_only,Jev rubric:hb_instance_v1,human majority (3 votes),596,269,300,0.9044,0.8088,0.9086,0.8998,256,44,13,283,0.9714,,,0.9502,482.0,0.7105,114.0,0.8775,0.7553,0.871,,,
harmbench_val__request_only,Jev direct_noul:assists_v2,human majority (3 votes),596,269,315,0.8926,0.7864,0.8992,0.8904,260,55,9,272,0.9605,,,0.9544,482.0,0.6316,114.0,0.8758,0.7537,0.8611,,,
harmbench_val__request_only,Jev direct_choice,human majority (3 votes),596,269,337,0.8792,0.7614,0.8892,0.8812,267,70,2,257,0.9587,,,0.9336,482.0,0.6491,114.0,0.8602,0.7254,0.8759,,,
harmbench_val__request_only,Jev crossjudge:lg_unsafe_v1,human majority (3 votes),596,269,301,0.8456,0.6916,0.8494,0.8386,239,62,30,265,0.9196,,,0.9004,482.0,0.614,114.0,0.8311,0.6627,0.7766,,,
llm_aggrefact_A,tested model meta-llama__Llama-3.2-3B-Instruct (official judgment),human gold,150,75,5,0.5333,0.0667,0.5333,0.125,5,0,70,75,0.6308,,,,,,,,,,0.0,,
llm_aggrefact_A,Jev direct_choice:grounding_choice,human gold,150,75,61,0.7333,0.4667,0.7333,0.7059,48,13,27,62,0.7687,,,,,,,,,,,,
llm_aggrefact_A,Jev direct_noul:unsupported_v0,human gold,150,75,82,0.6733,0.3467,0.6733,0.6879,54,28,21,47,0.7588,,,,,,,,,,,,
llm_aggrefact_A,"Jev heuristic:mean(unsupported_v0,v0_stmt,v1,v2)",human gold,150,75,82,0.66,0.32,0.66,0.6752,53,29,22,46,0.7547,,,,,,,,,,,,
llm_aggrefact_A,Jev naive:noul,human gold,150,75,67,0.7067,0.4133,0.7067,0.6901,49,18,26,57,0.762,,,,,,,,,,,,
llm_aggrefact_A,Jev naive:choice,human gold,150,75,65,0.7067,0.4133,0.7067,0.6857,48,17,27,58,0.7582,,,,,,,,,,,,
llm_aggrefact_A,Jev direct_choice_argmax:grounding_choice,human gold,150,75,63,0.7333,0.4667,0.7333,0.7101,49,14,26,61,0.7333,,,,,,,,,,,,
llm_aggrefact_B,tested model meta-llama__Llama-3.2-3B-Instruct (official judgment),human gold,150,75,13,0.5467,0.0933,0.5467,0.2273,10,3,65,72,0.7569,,,,,,,,,,0.0,,
llm_aggrefact_B,Jev direct_choice:grounding_choice,human gold,150,75,80,0.7933,0.5867,0.7933,0.8,62,18,13,57,0.8736,,,,,,,,,,,,
llm_aggrefact_B,Jev direct_noul:unsupported_v0,human gold,150,75,96,0.8067,0.6133,0.8067,0.8304,71,25,4,50,0.8814,,,,,,,,,,,,
llm_aggrefact_B,"Jev heuristic:mean(unsupported_v0,v0_stmt,v1,v2)",human gold,150,75,94,0.8067,0.6133,0.8067,0.8284,70,24,5,51,0.8769,,,,,,,,,,,,
llm_aggrefact_B,Jev naive:noul,human gold,150,75,76,0.78,0.56,0.78,0.7815,59,17,16,58,0.8812,,,,,,,,,,,,
llm_aggrefact_B,Jev naive:choice,human gold,150,75,72,0.78,0.56,0.78,0.7755,57,15,18,60,0.8694,,,,,,,,,,,,
summedits,tested model meta-llama__Llama-3.2-3B-Instruct (official judgment),human gold,300,150,25,0.5567,0.1133,0.5567,0.24,21,4,129,146,0.6477,,,,,,,,,,0.0,,
summedits,Jev direct_choice:grounding_choice,human gold,300,150,118,0.8133,0.6267,0.8133,0.791,106,12,44,138,0.8524,,,,,,,,,,,,
summedits,Jev direct_noul:unsupported_v0,human gold,300,150,132,0.8,0.6,0.8,0.7872,111,21,39,129,0.8475,,,,,,,,,,,,
summedits,"Jev heuristic:mean(unsupported_v0,v0_stmt,v1,v2)",human gold,300,150,131,0.7967,0.5933,0.7967,0.7829,110,21,40,129,0.8483,,,,,,,,,,,,
summedits,Jev naive:noul,human gold,300,150,123,0.8033,0.6067,0.8033,0.7839,107,16,43,134,0.8533,,,,,,,,,,,,
summedits,Jev naive:choice,human gold,300,150,120,0.8133,0.6267,0.8133,0.7926,107,13,43,137,0.8532,,,,,,,,,,,,
confaide_2b,tested model microsoft__Phi-4-mini-instruct (official judgment),human gold,98,91,47,0.551,0.1324,0.7582,0.6812,47,0,44,7,0.8155,,,,,,,,,,0.0,,
confaide_2b,Jev direct_choice,human gold,98,91,66,0.7449,0.2739,0.8626,0.8408,66,0,25,7,0.9176,,,,,,,,,,,,
confaide_2b,Jev direct_noul:violates_v0,human gold,98,91,83,0.8571,0.295,0.7253,0.9195,80,3,11,4,0.8948,,,,,,,,,,,,
confaide_2b,Jev ensemble:mean_v0-v2,human gold,98,91,71,0.7755,0.2701,0.8132,0.8642,70,1,21,6,0.9199,,,,,,,,,,,,
confaide_2b,Jev heuristic:rating_v1_soft,human gold,98,91,86,0.8878,0.3636,0.7418,0.9379,83,3,8,4,0.8776,,,,,,,,,,,,
confaide_2b,Jev heuristic:rating_v1_argmax_disagree,human gold,98,91,86,0.8878,0.3636,0.7418,0.9379,83,3,8,4,0.7418,,,,,,,,,,,,
privaci_bench,tested model microsoft__Phi-4-mini-instruct (official judgment),human gold,285,145,167,0.7123,0.4228,0.7108,0.7372,115,52,30,88,0.7108,,,,,,,,,,0.0,,
privaci_bench,Jev direct_choice,human gold,300,150,135,0.73,0.46,0.73,0.7158,102,33,48,117,0.815,,,,,,,,,,,,
privaci_bench,Jev direct_noul:prohibited_v0,human gold,300,150,107,0.73,0.46,0.73,0.6848,88,19,62,131,0.8072,,,,,,,,,,,,
privaci_bench,Jev ensemble:mean_v0-v2,human gold,300,150,112,0.74,0.48,0.74,0.7023,92,20,58,130,0.8148,,,,,,,,,,,,
privaci_bench,Jev rule_choice:verdict_v1==prohibited,human gold,300,150,113,0.7233,0.4467,0.7233,0.6844,90,23,60,127,0.7947,,,,,,,,,,,,
privaci_bench,Jev direct_choice,human gold,300,150,135,0.73,0.46,0.73,0.7158,102,33,48,117,0.815,,,,,,,,,,,,
privaci_gdpr_heldout,tested model microsoft__Phi-4-mini-instruct (official judgment),human gold,289,229,215,0.9308,0.8063,0.9379,0.955,212,3,17,57,0.9379,,,,,,,,,,0.0,,
privaci_gdpr_heldout,Jev direct_choice,human gold,300,239,236,0.9167,0.7474,0.8805,0.9474,225,11,14,50,0.969,,,,,,,,,,,,
privaci_gdpr_heldout,Jev direct_noul:prohibited_v0,human gold,300,239,217,0.9067,0.746,0.9231,0.9386,214,3,25,58,0.9737,,,,,,,,,,,,
privaci_gdpr_heldout,Jev ensemble:mean_v0-v2,human gold,300,239,223,0.9067,0.7375,0.9048,0.9394,217,6,22,55,0.9698,,,,,,,,,,,,
privaci_gdpr_heldout,Jev rule_choice:verdict_v1==prohibited,human gold,300,239,220,0.8833,0.6773,0.8779,0.9237,212,8,27,53,0.9646,,,,,,,,,,,,
privaci_gdpr_heldout,Jev direct_choice_argmax,human gold,292,237,241,0.9315,0.7696,0.874,0.9582,229,12,8,43,0.874,,,,,,,,,,,,
ragtruth,official faithful_prompt judge (gpt-4o),official track: unfaithful OR not useful (gpt-4o),300,165,158,0.9767,0.9531,0.9788,0.9783,158,0,7,135,,,,,,,,,,,,55.0,7.0
ragtruth,Jev direct_choice_argmax,official faithful_prompt judge (gpt-4o),300,158,177,0.8033,0.6029,0.7994,0.8239,138,39,20,103,0.7994,,,,,,,,,,,,
ragtruth,Jev direct_choice_argmax,official track: unfaithful OR not useful (gpt-4o),300,165,177,0.8267,0.647,0.8209,0.848,145,32,20,103,0.8209,,,,,,,,,,,,
ragtruth,Jev direct_noul:unfaithful_v0,official faithful_prompt judge (gpt-4o),300,158,141,0.7367,0.475,0.7389,0.7358,110,31,48,111,0.7664,,,,,,,,,,,,
ragtruth,Jev direct_noul:unfaithful_v0,official track: unfaithful OR not useful (gpt-4o),300,165,141,0.72,0.4433,0.7253,0.7255,111,30,54,105,0.7409,,,,,,,,,,,,
ragtruth,Jev naive:noul,official faithful_prompt judge (gpt-4o),300,158,110,0.74,0.4873,0.7478,0.709,95,15,63,127,0.7878,,,,,,,,,,,,
ragtruth,Jev naive:noul,official track: unfaithful OR not useful (gpt-4o),300,165,110,0.7233,0.461,0.7391,0.6982,96,14,69,121,0.7673,,,,,,,,,,,,
ragtruth,Jev rubric:inverse_1-faithful_v1,official faithful_prompt judge (gpt-4o),300,158,204,0.76,0.5106,0.7511,0.8011,145,59,13,83,0.8702,,,,,,,,,,,,
ragtruth,Jev rubric:inverse_1-faithful_v1,official track: unfaithful OR not useful (gpt-4o),300,165,204,0.7833,0.5505,0.768,0.8238,152,52,13,83,0.8842,,,,,,,,,,,,
ragtruth,"Jev rubric:official_fail=max(1-faithful_v1,1-useful_v1)",official faithful_prompt judge (gpt-4o),300,158,220,0.7267,0.4394,0.7148,0.7831,148,72,10,70,0.8255,,,,,,,,,,,,
ragtruth,"Jev rubric:official_fail=max(1-faithful_v1,1-useful_v1)",official track: unfaithful OR not useful (gpt-4o),300,165,220,0.75,0.4755,0.729,0.8052,155,65,10,70,0.8574,,,,,,,,,,,,
